CMDLINE python particle_weight.py
MEM 0.023438 1626201747.0939
MEM 10.101562 1626201747.2020
MEM 13.703125 1626201747.3118
MEM 21.332031 1626201747.4194
MEM 28.800781 1626201747.5242
MEM 33.628906 1626201747.6313
MEM 39.230469 1626201747.7404
MEM 44.101562 1626201747.8479
MEM 47.929688 1626201747.9527
MEM 52.078125 1626201748.0591
MEM 60.769531 1626201748.1645
MEM 89.003906 1626201748.2715
MEM 181.054688 1626201748.3791
MEM 227.449219 1626201748.4838
MEM 277.480469 1626201748.5902
MEM 328.527344 1626201748.6982
MEM 380.417969 1626201748.8085
MEM 432.699219 1626201748.9146
MEM 481.906250 1626201749.0199
MEM 528.898438 1626201749.1244
MEM 577.847656 1626201749.2317
MEM 629.546875 1626201749.3402
MEM 680.898438 1626201749.4488
MEM 731.675781 1626201749.5548
MEM 784.152344 1626201749.6642
MEM 837.183594 1626201749.7732
MEM 887.667969 1626201749.8782
MEM 934.812500 1626201749.9842
MEM 974.691406 1626201750.0904
MEM 1024.550781 1626201750.1996
MEM 1075.378906 1626201750.3088
MEM 1125.718750 1626201750.4157
MEM 1178.328125 1626201750.5244
MEM 1229.257812 1626201750.6321
MEM 1279.546875 1626201750.7405
MEM 1327.425781 1626201750.8501
MEM 1375.250000 1626201750.9570
MEM 1424.640625 1626201751.0657
MEM 1474.281250 1626201751.1732
MEM 1526.125000 1626201751.2836
MEM 1577.070312 1626201751.3906
MEM 1625.585938 1626201751.4999
MEM 1674.562500 1626201751.6086
MEM 1722.929688 1626201751.7172
MEM 1770.671875 1626201751.8257
MEM 1820.628906 1626201751.9327
MEM 1869.570312 1626201752.0405
MEM 1903.882812 1626201752.1470
MEM 1851.285156 1626201752.2544
MEM 1797.476562 1626201752.3600
MEM 1736.757812 1626201752.4646
MEM 1689.050781 1626201752.5701
MEM 1632.675781 1626201752.6791
MEM 1568.792969 1626201752.7846
MEM 1503.265625 1626201752.8908
MEM 1454.406250 1626201752.9995
MEM 1441.445312 1626201753.1059
MEM 1444.707031 1626201753.2123
MEM 1409.082031 1626201753.3185
MEM 1400.718750 1626201753.4242
MEM 1352.261719 1626201753.5301
MEM 1327.546875 1626201753.6359
MEM 1265.296875 1626201753.7415
MEM 1200.039062 1626201753.8477
MEM 1128.429688 1626201753.9562
MEM 1078.343750 1626201754.0614
MEM 1016.957031 1626201754.1669
MEM 1001.417969 1626201754.2733
MEM 942.542969 1626201754.3830
MEM 942.859375 1626201754.4929
MEM 1042.625000 1626201754.6002
MEM 1142.460938 1626201754.7082
MEM 1243.988281 1626201754.8149
MEM 1352.988281 1626201754.9203
MEM 1476.527344 1626201755.0284
MEM 1503.660156 1626201755.1346
MEM 1466.394531 1626201755.2435
MEM 1423.972656 1626201755.3515
MEM 1474.843750 1626201755.4612
MEM 1569.347656 1626201755.5691
MEM 1666.808594 1626201755.6814
MEM 1767.250000 1626201755.7929
MEM 1877.617188 1626201755.9025
MEM 1960.234375 1626201756.0075
MEM 2034.855469 1626201756.1137
MEM 2042.148438 1626201756.2191
MEM 2057.355469 1626201756.3301
MEM 2086.484375 1626201756.4371
MEM 2148.976562 1626201756.5465
MEM 2191.242188 1626201756.6512
MEM 2240.476562 1626201756.7610
MEM 2274.953125 1626201756.8677
MEM 2329.042969 1626201756.9756
MEM 2357.265625 1626201757.0843
MEM 2369.664062 1626201757.1956
MEM 2383.011719 1626201757.3030
MEM 2423.785156 1626201757.4134
MEM 2433.214844 1626201757.5184
MEM 2394.488281 1626201757.6241
MEM 2270.371094 1626201757.7290
MEM 2163.441406 1626201757.8367
MEM 2202.832031 1626201757.9471
MEM 2256.406250 1626201758.0574
MEM 2277.425781 1626201758.1626
MEM 2305.785156 1626201758.2690
MEM 2325.019531 1626201758.3814
MEM 2352.484375 1626201758.4905
MEM 2430.082031 1626201758.5958
MEM 2459.921875 1626201758.7040
MEM 2498.687500 1626201758.8108
MEM 2401.136719 1626201758.9187
MEM 2426.417969 1626201759.0281
MEM 2469.964844 1626201759.1348
MEM 2398.992188 1626201759.2407
MEM 2346.023438 1626201759.3454
MEM 2290.511719 1626201759.4524
MEM 2267.730469 1626201759.5571
MEM 2270.101562 1626201759.6622
MEM 2300.902344 1626201759.7678
MEM 2249.125000 1626201759.8723
MEM 2208.023438 1626201759.9793
MEM 2180.906250 1626201760.0842
MEM 2156.125000 1626201760.1916
MEM 2135.339844 1626201760.2977
MEM 2118.855469 1626201760.4029
MEM 2110.164062 1626201760.5079
MEM 2103.625000 1626201760.6141
MEM 2122.644531 1626201760.7202
MEM 2154.386719 1626201760.8301
MEM 2153.359375 1626201760.9366
MEM 2103.238281 1626201761.0427
MEM 2050.390625 1626201761.1496
MEM 2029.351562 1626201761.2551
MEM 2025.371094 1626201761.3611
MEM 2017.191406 1626201761.4661
MEM 2037.855469 1626201761.5719
MEM 2006.636719 1626201761.6764
MEM 2030.585938 1626201761.7828
MEM 2080.718750 1626201761.8920
MEM 2125.167969 1626201761.9978
MEM 2168.574219 1626201762.1047
MEM 2230.398438 1626201762.2103
MEM 2272.550781 1626201762.3177
MEM 2307.585938 1626201762.4238
MEM 2336.507812 1626201762.5295
MEM 2367.718750 1626201762.6351
MEM 2381.535156 1626201762.7417
MEM 2414.820312 1626201762.8524
MEM 2448.441406 1626201762.9590
MEM 2483.843750 1626201763.0655
MEM 2518.320312 1626201763.1724
MEM 2548.386719 1626201763.2791
MEM 2571.773438 1626201763.3849
MEM 2580.542969 1626201763.4938
MEM 2600.652344 1626201763.5995
MEM 2615.671875 1626201763.7043
MEM 2628.328125 1626201763.8102
MEM 2649.480469 1626201763.9187
MEM 2667.839844 1626201764.0264
MEM 2665.968750 1626201764.1362
MEM 2665.390625 1626201764.2476
MEM 2664.968750 1626201764.3576
MEM 2346.546875 1626201764.4656
MEM 2369.023438 1626201764.5719
MEM 1729.226562 1626201764.6820
MEM 715.281250 1626201764.7944
MEM 80.539062 1626201764.8991
